"Braids, Arisen Nightmare (Showcase)",Dominaria United,Near Mint,False,700,1
Monstrous Rage,Wilds of Eldraine,Near Mint,False,320,5
Not Dead After All,Wilds of Eldraine,Near Mint,False,80,17
Up the Beanstalk,Wilds of Eldraine,Near Mint,False,320,5
Kami of Whispered Hopes,March of the Machine,Near Mint,False,460,8
Sheoldred's Edict,Phyrexia: All Will Be One,Near Mint,False,160,18
Demolition Field,The Brothers' War,Near Mint,False,110,10
Cut Down,Dominaria United,Near Mint,False,240,17
Surge of Salvation,March of the Machine,Near Mint,False,100,10
Caves of Koilos,Dominaria United,Near Mint,False,180,2
Gaea's Gift,The Brothers' War,Near Mint,False,130,6
Thran Power Suit,The Brothers' War,Near Mint,False,150,16
Heartfire Hero,Bloomburrow,Near Mint,False,180,7
Aftermath Analyst,Murders at Karlov Manor,Near Mint,False,410,6
"Elas il-Kor, Sadistic Pilgrim (Showcase)",Dominaria United,Near Mint,False,120,7
Haywire Mite,The Brothers' War,Near Mint,False,170,8
Tyvar's Stand,Phyrexia: All Will Be One,Near Mint,False,240,5
Pick Your Poison,Murders at Karlov Manor,Near Mint,False,50,7
Karplusan Forest,Dominaria United,Near Mint,False,220,7
Experimental Augury,Phyrexia: All Will Be One,Near Mint,False,60,5
Phoenix Chick,Dominaria United,Near Mint,False,40,18
Picklock Prankster,Wilds of Eldraine,Near Mint,False,60,14
Stroke of Midnight,Wilds of Eldraine,Near Mint,False,80,17
Shivan Reef,Dominaria United,Near Mint,False,150,8
Elspeth's Smite,March of the Machine,Near Mint,False,70,9
Gleeful Demolition,Phyrexia: All Will Be One,Near Mint,False,50,6
Collector's Vault,Wilds of Eldraine,Near Mint,False,60,9
Royal Treatment,Wilds of Eldraine,Near Mint,False,40,18
Lithomantic Barrage,March of the Machine,Near Mint,False,110,17
Haughty Djinn,Dominaria United,Near Mint,False,110,5
Tear Asunder,Dominaria United,Near Mint,False,110,10
Witchstalker Frenzy,Wilds of Eldraine,Near Mint,False,50,15
Obliterating Bolt,The Brothers' War,Near Mint,False,40,15
An Offer You Can't Refuse,Foundations,Near Mint,False,280,2
Adarkar Wastes (Borderless Alternate Art),Dominaria United,Near Mint,False,450,3
Requisition Raid,Outlaws of Thunder Junction,Near Mint,False,80,9
Demand Answers (Showcase),Murders at Karlov Manor,Near Mint,False,40,14
Fallaji Archaeologist,The Brothers' War,Near Mint,False,50,16
Combat Research,Dominaria United,Near Mint,False,80,9
Callous Sell-Sword // Burn Together,Wilds of Eldraine,Near Mint,False,40,20
Go for the Throat,The Brothers' War,Near Mint,False,130,15
Return the Favor,Outlaws of Thunder Junction,Near Mint,False,220,8
Lush Portico,Murders at Karlov Manor,Near Mint,False,1170,6
Spelunking,The Lost Caverns of Ixalan,Near Mint,False,330,2
Gingerbrute,Wilds of Eldraine,Near Mint,False,40,1
Overprotect,Bloomburrow,Near Mint,False,200,16
Destroy Evil,Dominaria United,Near Mint,False,140,12
Raucous Theater,Murders at Karlov Manor,Near Mint,False,1400,5
Novice Inspector,Murders at Karlov Manor,Near Mint,False,40,16
Commercial District,Murders at Karlov Manor,Near Mint,False,1290,7
Meticulous Archive,Murders at Karlov Manor,Near Mint,False,2820,1
"Malcolm, Alluring Scoundrel (Showcase)",The Lost Caverns of Ixalan,Near Mint,False,120,5
Recommission,The Brothers' War,Near Mint,False,50,9
"Gwenna, Eyes of Gaea",The Brothers' War,Near Mint,False,590,2
Tocasia's Welcome,The Brothers' War,Near Mint,False,470,8
Aven Interrupter,Outlaws of Thunder Junction,Near Mint,False,700,7
Protect the Negotiators,Dominaria United,Near Mint,False,40,15
Resolute Reinforcements,Dominaria United,Near Mint,False,40,9
Emberheart Challenger,Bloomburrow,Near Mint,False,700,4
Manifold Mouse,Bloomburrow,Near Mint,False,390,1
Case of the Ransacked Lab,Murders at Karlov Manor,Near Mint,False,110,4
Twisted Fealty,Wilds of Eldraine,Near Mint,False,40,12
Gixian Puppeteer,The Brothers' War,Near Mint,False,140,5
Soulless Jailer,Phyrexia: All Will Be One,Near Mint,False,230,7
Thundering Falls,Murders at Karlov Manor,Near Mint,False,2650,1
Sunfall,March of the Machine,Near Mint,False,410,3
Sunken Citadel,The Lost Caverns of Ixalan,Near Mint,False,400,6
Coppercoat Vanguard,March of the Machine: The Aftermath,Near Mint,False,50,4
Dreams of Steel and Oil,The Brothers' War,Near Mint,False,70,10
Bitter Reunion,The Brothers' War,Near Mint,False,70,12
Audacity,The Brothers' War,Near Mint,False,80,14
Flow of Knowledge,The Brothers' War,Near Mint,False,40,12
Brushland,The Brothers' War,Near Mint,False,350,5
Shore Up,Dominaria United,Near Mint,False,40,19
Tolarian Terror,Dominaria United,Near Mint,False,40,1
Enduring Innocence,Duskmourn: House of Horror,Near Mint,False,780,2
Caustic Bronco,Outlaws of Thunder Junction,Near Mint,False,80,3
Forensic Gadgeteer (Showcase),Murders at Karlov Manor,Near Mint,False,240,2
"Anim Pakal, Thousandth Moon (Showcase)",The Lost Caverns of Ixalan,Near Mint,False,520,2
Unnatural Restoration,Phyrexia: All Will Be One,Near Mint,False,120,16
Evolving Wilds,Wilds of Eldraine,Near Mint,False,40,11
Island (263) (Full-Art),Phyrexia: All Will Be One,Near Mint,False,40,3
Island (263) (Full-Art),Phyrexia: All Will Be One,Near Mint,True,60,30
Rogue's Passage,Foundations,Near Mint,False,60,1
Vodalian Hexcatcher,Dominaria United,Near Mint,False,370,7
Karplusan Forest (Borderless Alternate Art),Dominaria United,Near Mint,False,440,4
Coruscation Mage,Bloomburrow,Near Mint,False,70,3
Glissa Sunslayer,Phyrexia: All Will Be One,Near Mint,False,350,2
Change the Equation,March of the Machine,Near Mint,False,40,6
See Double,March of the Machine,Near Mint,False,120,3
Escape Tunnel,Murders at Karlov Manor,Near Mint,False,40,14
Quick Study,Wilds of Eldraine,Near Mint,False,40,18
Radiant Grove,Dominaria United,Near Mint,False,40,5
Lay Down Arms,The Brothers' War,Near Mint,False,50,19
Swiftfoot Boots,Foundations,Near Mint,False,230,2
"Squee, Dubious Monarch (Showcase)",Dominaria United,Near Mint,False,70,7
Ossification,Phyrexia: All Will Be One,Near Mint,False,50,13
No More Lies,Murders at Karlov Manor,Near Mint,False,60,1
Moment of Truth,March of the Machine,Near Mint,False,40,11
Breach the Multiverse,March of the Machine,Near Mint,False,940,8
Lively Dirge,Outlaws of Thunder Junction,Near Mint,False,70,16
Demand Answers,Murders at Karlov Manor,Near Mint,False,50,6
Imodane's Recruiter // Train Troops,Wilds of Eldraine,Near Mint,False,40,6
"Matzalantli, the Great Door // The Core",The Lost Caverns of Ixalan,Near Mint,False,210,8
Bitter Triumph,The Lost Caverns of Ixalan,Near Mint,False,120,7
Drown in Ichor,Phyrexia: All Will Be One,Near Mint,False,80,15
Founding the Third Path,Dominaria United,Near Mint,False,40,18
Sacred Peaks,Dominaria United,Near Mint,False,50,5
Stock Up,Aetherdrift,Near Mint,False,2000,1
