Flames of the Blood Hand FOIL (Premium Deck Series: Fire and Lightning),MISC-R-ENG-PD2-022-NM,0,2.5000,2.5000,2.5000
Grim Lavamancer FOIL ( Premium Deck Series: Fire and Lightning ),PD2-R-001-EN-NM-FOIL,0,1.0800,1.0800,1.0800
Harnessed Lightning,KLD-UC-EN-117-NM,12,0.5000,0.5000,0.5000
Harnessed Lightning FOIL,KLD-UC-FOIL-EN-117-NM,0,4.9000,4.9000,4.9000
Homing Lightning,GTC-096EN-NM,11,0.5000,0.5000,0.5000
Javelin of Lightning,CLB-C-ENG-185-NM,11,0.2500,0.2500,0.2500
Javelin of Lightning FOIL,CLB-C-FOIL-ENG-185-NM,3,0.7000,0.7000,0.7000
Jaya Ballard ( Premium Deck Series: Fire & Lightning ) FOIL,MISC-R-FOIL-ENG-PD2-10-NM,0,1.9500,1.9500,1.9500
Leyline of Lightning,WOT-R-ENG-0045-NM,26,0.7000,0.7000,0.7000
Leyline of Lightning (Guildpact),MISC-R-ENG-GPT-068-NM,24,0.8000,0.8000,0.8000
Leyline of Lightning FOIL,WOT-R-FOIL-ENG-0045-NM,5,0.7000,0.7000,0.7000
Leyline of Lightning FOIL (Guildpact),MISC-R-FOIL-ENG-GPT-068-NM,0,1.9500,1.9500,1.9500
Lightning Angel,DD-SVC-056-EN-NM,0,0.6000,0.6000,0.6000
Lightning Angel FOIL (From the Vault: Angels),V15-12-EN-NM,0,1.6900,1.6900,1.6900
Lightning Axe,SOI-UC-EN-170-NM,1,0.5000,0.5000,0.5000
Lightning Axe,2XM-C-ENG-135-NM,6,0.5000,0.5000,0.5000
Lightning Axe,TSR-UC-ENG-174-NM,0,0.5000,0.5000,0.5000
Lightning Axe,INR-UC-ENG-0162-NM,1,0.5000,0.5000,0.5000
Lightning Axe (PLIST),MB1-PLIST-C-ENG-428-NM,3,0.5000,0.5000,0.5000
Lightning Axe (TSP),MISC-C-ENG-TSP-168-NM,9,0.7000,0.7000,0.7000
Lightning Axe FOIL,SOI-UC-FOIL-EN-170-NM,1,3.4000,3.4000,3.4000
Lightning Axe FOIL,2XM-C-FOIL-ENG-135-NM,12,0.5000,0.5000,0.5000
Lightning Axe FOIL (TSP),MISC-C-FOIL-ENG-TSP-168-NM,0,9.9000,9.9000,9.9000
Lightning Axe FOIL (TSP) [ EX-PLD ],MISC-C-ENG-TSP-168-EX,1,0.3500,0.3500,0.3500
Lightning Berserker,DTK-UC-EN-146-NM,0,0.5000,0.5000,0.5000
Lightning Berserker FOIL,DTK-UC-FOIL-EN-146-NM,0,1.5000,1.5000,1.5000
Lightning Bolt,M11-149EN-NM,0,3.4000,3.4000,3.4000
Lightning Bolt,MMB-UC-EN-122-NM,1,3.4000,3.4000,3.4000
Lightning Bolt,3ED-C-EN-161-NM,0,5.8500,5.8500,5.8500
Lightning Bolt,E01-UC-ENG-054-NM,0,5.0000,5.0000,5.0000
Lightning Bolt,A25-UC-EN-141-NM,10,3.1000,3.1000,3.1000
Lightning Bolt,JMP-UC-ENG-342-NM,3,3.1000,3.1000,3.1000
Lightning Bolt,STA-R-ENG-042-NM,24,4.1000,4.1000,4.1000
Lightning Bolt,CLB-C-ENG-187-NM,2,2.7000,2.7000,2.7000
Lightning Bolt,2X2-UC-ENG-117-NM,7,3.1000,3.1000,3.1000
Lightning Bolt,GN3-UC-ENG-083-NM,3,3.0000,3.0000,3.0000
Lightning Bolt (Alpha Edition) [Moderately Played],MISC-LEA-C-ENG-161-NM,2,445.0000,445.0000,445.0000
Lightning Bolt (Anthologies),MISC-C-ENG-ATH-034-NM,2,4.7200,4.7200,4.7200
Lightning Bolt (Archenemy : Nicol Bolas),MB1-UC-ENG-1001-NM ,0,1.8000,1.8000,1.8000
Lightning Bolt (Foil-Etched),STA-R-ETCHED-ENG-042-NM,0,5.4000,5.4000,5.4000
Lightning Bolt (Fourth Edition),MISC-C-EN-4ED-226-NM,1,5.4000,5.4000,5.4000
Lightning Bolt (Fourth Edition) [EX-PLD],MISC-C-EN-4ED-226-EX,0,5.2000,5.2000,5.2000
Lightning Bolt (Fourth Edition) [MP-PLD],MISC-C-EN-4ED-226-MP,9,2.7000,2.7000,2.7000
Lightning Bolt (Magic 2010),MISC-C-EN-M10-146-NM2,26,3.1000,3.1000,3.1000
Lightning Bolt (Magicfest 2019),PR-PF19-ENG-001-NM,0,7.8000,7.8000,7.8000
Lightning Bolt (Masters 25) (PLIST),MB1-PLIST-UC-ENG-429-NM,24,2.5000,2.5000,2.5000
Lightning Bolt (Revised Edition) [EX-PLD],3ED-C-EN-161-NM,0,4.6800,4.6800,4.6800
Lightning Bolt (Revised),MISC-C-ENG-3ED-161-NM,0,3.3700,3.3700,3.3700
Lightning Bolt (Revised) [EX-PLD],MISC-C-ENG-3ED-161-EX,0,2.1500,2.1500,2.1500
Lightning Bolt (Textless),MB1-PLIST-C-ENG-142-NM ,1,16.9000,16.9000,16.9000
Lightning Bolt FOIL,MMB-UC-FOIL-EN-122-NM,4,9.4500,9.4500,9.4500
Lightning Bolt FOIL,M11-149-FOIL-EN-NM,0,9.9000,9.9000,9.9000
Lightning Bolt FOIL,A25-UC-FOIL-EN-141-NM,5,11.7000,11.7000,11.7000
Lightning Bolt FOIL,STA-R-FOIL-ENG-042-NM,5,8.1000,8.1000,8.1000
Lightning Bolt FOIL,CLB-C-FOIL-ENG-187-NM,11,3.4000,3.4000,3.4000
Lightning Bolt FOIL,2X2-UC-FOIL-ENG-117-NM,4,3.4000,3.4000,3.4000
Lightning Bolt FOIL (Magic 2010),MISC-C-FOIL-EN-M10-146-NM2,1,14.8500,14.8500,14.8500
Lightning Bolt FOIL (Magic Player Rewards),PR-C-FOIL-ENG-MPR-1P10-NM,3,24.3000,24.3000,24.3000
Lightning Bolt FOIL (Magicfest 2019 Promo),PR-PF19-FOIL-ENG-001-NM,0,8.1000,8.1000,8.1000
Lightning Bolt FOIL (Premium Deck Series: Fire and Lightning),MISC-C-FOIL-PD2-17-NM,0,3.9000,3.9000,3.9000
Lightning Bolt FOIL (SLD),SLD-R-FOIL-ENG-1822-NM,5,9.0000,9.0000,9.0000
Lightning Bolt FOIL [AA Borderless] ,2X2-UC-FOIL-ENG-361-NM,8,5.4000,5.4000,5.4000
Lightning Bolt FOIL [Secret Lair - 083],PR-SLD-FOIL-ENG-083-NM ,3,7.4000,7.4000,7.4000
Lightning Bolt FOIL [Secret Lair - 084],PR-SLD-FOIL-ENG-084-NM,6,8.7700,8.7700,8.7700
Lightning Bolt FOIL [Secret Lair - 086],PR-SLD-FOIL-ENG-086-NM,5,8.8000,8.8000,8.8000
Lightning Bolt FOIL [Showcase],CLB-C-FOIL-ENG-401-NM,1,3.4000,3.4000,3.4000
Lightning Bolt [AA Borderless],2X2-UC-ENG-361-NM,14,4.0000,4.0000,4.0000
Lightning Bolt [Alternate Art],STA-R-JPN-105-NM,12,24.3000,24.3000,24.3000
Lightning Bolt [EX-PLD],M11-149-EN-EX,1,3.6000,3.6000,3.6000
Lightning Bolt [Showcase],CLB-C-ENG-401-NM,23,2.7000,2.7000,2.7000
Lightning Coils (Mirrodin),MISC-R-ENG-MRD-198-NM,12,1.0000,1.0000,1.0000
Lightning Coils FOIL (Mirrodin),MISC-R-FOIL-ENG-MRD-198-NM,5,3.3700,3.3700,3.3700
Lightning Colt (Mystery Booster Playtest Cards 2021),MB1-PLIST-CMB2-R-ENG-057-NM,1,1.3000,1.3000,1.3000
Lightning Crafter  (Morningtide),MISC-R-EN-MOR-093-NM,1,6.7500,6.7500,6.7500
Lightning Crafter (PLIST),MB1-PLIST-R-ENG-143-NM,2,4.0000,4.0000,4.0000
Lightning Diadem,JOU-102-EN-NM,10,0.2500,0.2500,0.2500
Lightning Elemental,M12-149EN-NM,8,0.2500,0.2500,0.2500
Lightning Greaves,C15-UC-EN-257-NM,1,17.5500,17.5500,17.5500
Lightning Greaves,C16-UC-EN-260-NM,3,10.8000,10.8000,10.8000
Lightning Greaves,CMA-UC-ENG-220-NM,0,9.4500,9.4500,9.4500
Lightning Greaves,C17-UC-EN-215-NM,6,10.1000,10.1000,10.1000
Lightning Greaves,CM2-UC-EN-196-NM,0,9.4500,9.4500,9.4500
Lightning Greaves,C19-UC-ENG-217-NM,12,10.1000,10.1000,10.1000
Lightning Greaves,C20-UC-ENG-245-NM,4,10.1000,10.1000,10.1000
Lightning Greaves,2XM-UC-ENG-267-NM,19,10.1000,10.1000,10.1000
